usia;kelompok
36        ;Dewasa              
54        ;Dewasa              
66        ;Tua                 
7         ;Kanak-kanak         
41        ;Dewasa              
12        ;Remaja              
5         ;Balita              
54        ;Dewasa              
15        ;Remaja              
40        ;Dewasa              
21        ;Pemuda              
40        ;Dewasa              
35        ;Dewasa              
15        ;Remaja              
32        ;Dewasa              
18        ;Pemuda              
48        ;Dewasa              
70        ;Tua                 
33        ;Dewasa              
22        ;Pemuda              
45        ;Dewasa              
34        ;Dewasa              
39        ;Dewasa              
65        ;Tua                 
57        ;Tua                 
61        ;Tua                 
12        ;Remaja              
17        ;Pemuda              
61        ;Tua                 
37        ;Dewasa              
79        ;Tua                 
14        ;Remaja              
10        ;Kanak-kanak         
17        ;Pemuda              
58        ;Tua                 
13        ;Remaja              
2         ;Balita              
46        ;Dewasa              
14        ;Remaja              
66        ;Tua                 
27        ;Dewasa              
2         ;Balita              
65        ;Tua                 
47        ;Dewasa              
39        ;Dewasa              
25        ;Dewasa              
1         ;Balita              
54        ;Dewasa              
79        ;Tua                 
7         ;Kanak-kanak         
62        ;Tua                 
11        ;Kanak-kanak         
28        ;Dewasa              
50        ;Dewasa              
80        ;Tua                 
6         ;Kanak-kanak         
24        ;Dewasa              
48        ;Dewasa              
8         ;Kanak-kanak         
26        ;Dewasa              
54        ;Dewasa              
61        ;Tua                 
76        ;Tua                 
34        ;Dewasa              
61        ;Tua                 
43        ;Dewasa              
43        ;Dewasa              
12        ;Remaja              
56        ;Tua                 
40        ;Dewasa              
3         ;Balita              
26        ;Dewasa              
76        ;Tua                 
5         ;Balita              
30        ;Dewasa              
10        ;Kanak-kanak         
72        ;Tua                 
42        ;Dewasa              
3         ;Balita              
61        ;Tua                 
58        ;Tua                 
79        ;Tua                 
67        ;Tua                 
59        ;Tua                 
23        ;Pemuda              
8         ;Kanak-kanak         
52        ;Dewasa              
62        ;Tua                 
39        ;Dewasa              
14        ;Remaja              
47        ;Dewasa              
70        ;Tua                 
44        ;Dewasa              
23        ;Pemuda              
80        ;Tua                 
67        ;Tua                 
15        ;Remaja              
51        ;Dewasa              
56        ;Tua                 
21        ;Pemuda              
