No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,18000,18000,19000,17000,18000,18000,17000,14000,15000,16000,18000,17000,16000,15000,17000,16000,15000,17000,16000,15000,16000,16000,17000,16000,15000,20000,19000,20000,21000,20000,20000,21000,17161,14000
2,Pasar Senen Blok III - VI,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,36452,30000
3,Pasar Jembatan Merah,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,37742,35000
4,Pasar Sunter Podomoro,38000,32000,37000,38000,32000,30000,30000,30000,30000,30000,32000,32000,28000,32000,28000,32000,32000,34000,27000,31000,31000,30000,30000,31000,30000,31000,34000,34000,31000,31000,30000,38000,31548,27000
5,Pasar Rawa Badak,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,30000,35000,35000,35000,35000,35000,35000,35000,31613,30000
6,Pasar Grogol,25000,25000,25000,25000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,25000,25000,25000,25000,25000,25000,25000,35000,35000,30000,30000,35000,27516,25000
7,Pasar Glodok,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,35323,30000
8,Pasar Minggu,30000,30000,30000,30000,35000,35000,35000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,34677,30000
9,Pasar Mayestik,37000,37000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38000,38000,40000,40000,38000,38000,38000,38000,40000,35000,35000,35000,38000,38000,40000,40000,38806,35000
10,Pasar Pramuka,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
