No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,24000,23000,25000,25000,24000,25000,26000,25000,25000,25000,27000,28000,27000,28000,26000,28000,27000,30000,29000,27000,28000,31000,30000,29000,30000,28000,29000,28000,28000,26000,25000,31000,26968,23000
2,Pasar Senen Blok III - VI,20000,20000,20000,20000,20000,20000,20000,20000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,27419,20000
3,Pasar Jembatan Merah,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38710,35000
4,Pasar Sunter Podomoro,46000,46000,47000,46000,45000,45000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,47000,47000,46000,44000,46000,46000,44000,46000,44000,46000,46000,46000,46000,47000,45839,44000
5,Pasar Rawa Badak,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,34677,30000
6,Pasar Grogol,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,37097,30000
7,Pasar Glodok,37000,37000,37000,40000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,48000,48000,48000,48000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,48000,43323,37000
8,Pasar Minggu,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,45000,36129,25000
9,Pasar Mayestik,45000,45000,47000,47000,47000,47000,47000,44000,44000,45000,45000,45000,45000,45000,48000,48000,44000,48000,48000,48000,48000,54000,55000,54000,54000,54000,54000,54000,55000,55000,50000,55000,48677,44000
10,Pasar Pramuka,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,38226,35000
11,Pasar Kramat Jati,36000,36000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,43613,36000
12,Pasar Jatinegara,30000,35000,30000,35000,35000,30000,30000,35000,35000,40000,35000,40000,40000,40000,40000,40000,40000,35000,40000,40000,40000,45000,45000,42000,45000,35000,35000,35000,40000,40000,35000,45000,37484,30000
