No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,13000,13000,12000,13000,14000,15000,15000,17000,18000,19000,17000,16000,15000,18000,16000,17000,16000,17000,18000,20000,21000,22000,20000,21000,23500,22000,23000,25000,24000,25000,25000,18183,12000
2,Pasar Senen Blok III - VI,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,30000,22833,20000
3,Pasar Jembatan Merah,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,40000,36167,30000
4,Pasar Sunter Podomoro,46000,46000,48000,47000,46000,46000,46000,48000,48000,48000,47000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,47000,46000,47000,48000,46000,46000,46000,46000,46000,48000,46467,46000
5,Pasar Rawa Badak,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
6,Pasar Grogol,25000,25000,25000,25000,25000,25000,25000,25000,28000,28000,28000,28000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,26567,25000
7,Pasar Glodok,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,32000,32000,32000,35000,35000,35000,32000,32000,32000,32000,32000,32000,36000,35000,35000,35000,35000,38000,38000,38000,32833,30000
8,Pasar Minggu,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,25000,30000,25333,25000
9,Pasar Mayestik,35000,35000,37000,35000,37000,37000,37000,35000,35000,35000,35000,36000,35000,35000,35000,35000,36000,36000,36000,36000,36000,36000,36000,40000,40000,40000,43000,43000,43000,43000,43000,37100,35000
10,Pasar Pramuka,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,40000,40000,40000,40000,40000,40000,40000,30000,30000,35000,30000,30000,30000,30000,40000,34000,30000
11,Pasar Kramat Jati,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,36000,36000,36000,36000,36000,40000,39333,36000
12,Pasar Jatinegara,30000,30000,25000,25000,25000,30000,30000,30000,30000,30000,30000,28000,30000,30000,30000,30000,30000,30000,30000,35000,30000,35000,30000,30000,35000,30000,30000,30000,30000,30000,35000,29933,25000
